timestamp,message
1680218357422,"INIT_START Runtime Version: python:3.9.v18	Runtime Version ARN: arn:aws:lambda:us-west-2::runtime:edb5a058bfa782cb9cedc6d534ac8b8c193bc28e9a9879d9f5ebaaf619cd0fc0
"
1680218357816,"[DEBUG]	2023-03-30T23:19:17.816Z		Changing event name from creating-client-class.iot-data to creating-client-class.iot-data-plane
"
1680218357818,"[DEBUG]	2023-03-30T23:19:17.818Z		Changing event name from before-call.apigateway to before-call.api-gateway
"
1680218357819,"[DEBUG]	2023-03-30T23:19:17.818Z		Changing event name from request-created.machinelearning.Predict to request-created.machine-learning.Predict
"
1680218357820,"[DEBUG]	2023-03-30T23:19:17.820Z		Changing event name from before-parameter-build.autoscaling.CreateLaunchConfiguration to before-parameter-build.auto-scaling.CreateLaunchConfiguration
"
1680218357820,"[DEBUG]	2023-03-30T23:19:17.820Z		Changing event name from before-parameter-build.route53 to before-parameter-build.route-53
"
1680218357820,"[DEBUG]	2023-03-30T23:19:17.820Z		Changing event name from request-created.cloudsearchdomain.Search to request-created.cloudsearch-domain.Search
"
1680218357821,"[DEBUG]	2023-03-30T23:19:17.821Z		Changing event name from docs.*.autoscaling.CreateLaunchConfiguration.complete-section to docs.*.auto-scaling.CreateLaunchConfiguration.complete-section
"
1680218357824,"[DEBUG]	2023-03-30T23:19:17.824Z		Changing event name from before-parameter-build.logs.CreateExportTask to before-parameter-build.cloudwatch-logs.CreateExportTask
"
1680218357824,"[DEBUG]	2023-03-30T23:19:17.824Z		Changing event name from docs.*.logs.CreateExportTask.complete-section to docs.*.cloudwatch-logs.CreateExportTask.complete-section
"
1680218357824,"[DEBUG]	2023-03-30T23:19:17.824Z		Changing event name from before-parameter-build.cloudsearchdomain.Search to before-parameter-build.cloudsearch-domain.Search
"
1680218357824,"[DEBUG]	2023-03-30T23:19:17.824Z		Changing event name from docs.*.cloudsearchdomain.Search.complete-section to docs.*.cloudsearch-domain.Search.complete-section
"
1680218357828,"[DEBUG]	2023-03-30T23:19:17.828Z		IMDS ENDPOINT: http://169.254.169.254/
"
1680218357830,"[DEBUG]	2023-03-30T23:19:17.830Z		Looking for credentials via: env
"
1680218357830,"[INFO]	2023-03-30T23:19:17.830Z		Found credentials in environment variables.
"
1680218357831,"[DEBUG]	2023-03-30T23:19:17.831Z		Changing event name from creating-client-class.iot-data to creating-client-class.iot-data-plane
"
1680218357832,"[DEBUG]	2023-03-30T23:19:17.832Z		Changing event name from before-call.apigateway to before-call.api-gateway
"
1680218357833,"[DEBUG]	2023-03-30T23:19:17.833Z		Changing event name from request-created.machinelearning.Predict to request-created.machine-learning.Predict
"
